#separator:tab
#html:true
#columns:Word	WordAudio	Meaning	Sentence	SentenceAudio	Translation	Tags
#tags column:7
その	その	that; the<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 11</div>	<ruby>放課後<rt>ほうかご</rt></ruby>、<b>その</b><ruby>計画<rt>けいかく</rt></ruby>について<ruby>相談<rt>そうだん</rt></ruby>しよう。	放課後、その計画について相談しよう。	Let's talk over the plan after school.	pos::adjective rank::0001-0500
なる	なる	to become; to get; to grow<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 12</div>	<ruby>本当<rt>ほんとう</rt></ruby>によく<b>なっ</b>ている<ruby>感<rt>かん</rt></ruby>じがしますもの。	本当によくなっている感じがしますもの。	I do feel on the mend.	pos::verb rank::0001-0500
なら	なら	if; in case; if it is the case that<div style="font-size:12px;color:#a7aebb;margin-top:4px">conjunction &middot; frequency rank 13</div>	<ruby>感情<rt>かんじょう</rt></ruby>によって<ruby>理性<rt>りせい</rt></ruby>が<ruby>曇<rt>くも</rt></ruby>らされているままにしておくならば、<ruby>我々<rt>われわれ</rt></ruby>は、<ruby>常<rt>つね</rt></ruby>に<ruby>見当<rt>けんとう</rt></ruby><ruby>違<rt>ちが</rt></ruby>いのことをしてしまうだろう。	感情によって理性が曇らされているままにしておくならば、我々は、常に見当違いのことをしてしまうだろう。	If we let our reasoning power be overshadowed by our emotions, we would be barking up the wrong tree all the time.	pos::conjunction rank::0001-0500
<ruby>者<rt>もの</rt></ruby>	者	person<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 14</div>	<ruby>一生懸命<rt>いっしょうけんめい</rt></ruby><ruby>勉強<rt>べんきょう</rt></ruby>する<b><ruby>者<rt>もの</rt></ruby></b>は<ruby>誰<rt>だれ</rt></ruby>でも<ruby>必<rt>かなら</rt></ruby>ず<ruby>成功<rt>せいこう</rt></ruby>する。	一生懸命勉強する者は誰でも必ず成功する。	Whoever studies hard cannot fail to succeed.	pos::noun rank::0001-0500
<ruby>月<rt>つき</rt></ruby>	月	Moon<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 15</div>	<ruby>新<rt>あたら</rt></ruby>しい<b><ruby>月<rt>つき</rt></ruby></b>もでてきました。	新しい月もでてきました。	A new moon was coming up.	pos::noun rank::0001-0500
という	という	called; named; that says<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 16</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はついに<ruby>喫煙<rt>きつえん</rt></ruby><b>という</b><ruby>悪<rt>わる</rt></ruby>い<ruby>習慣<rt>しゅうかん</rt></ruby>がついた。	彼女はついに喫煙という悪い習慣がついた。	She eventually got into the bad habit of smoking.	pos::expression rank::0001-0500
それ	それ	that; it<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 17</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<b>それ</b>について<ruby>知<rt>し</rt></ruby>っていたはずがない。	彼女はそれについて知っていたはずがない。	It's impossible that she knew about it.	pos::pronoun rank::0001-0500
<ruby>私<rt>わたし</rt></ruby>	私	I; me<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 18</div>	<b><ruby>私<rt>わたし</rt></ruby></b>よりもっとエッチな<ruby>人<rt>ひと</rt></ruby>もいて<ruby>安心<rt>あんしん</rt></ruby>しました。	私よりもっとエッチな人もいて安心しました。	I was relieved that there are people more wanton than me.	pos::pronoun rank::0001-0500
ため	ため	good; advantage; benefit<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 19</div>	<ruby>病気<rt>びょうき</rt></ruby>の<b>ため</b><ruby>彼<rt>かれ</rt></ruby>のコンサートに<ruby>行<rt>い</rt></ruby>けなかった。	病気のため彼のコンサートに行けなかった。	Illness prevented me from going to his concert.	pos::noun rank::0001-0500
<ruby>時<rt>とき</rt></ruby>	時	time; hour; moment<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 20</div>	<ruby>母<rt>はは</rt></ruby>は<ruby>若<rt>わか</rt></ruby>い<b>とき</b>、とても<ruby>美<rt>うつく</rt></ruby>しかった。	母は若いとき、とても美しかった。	When my mother was young, she was very beautiful.	pos::noun rank::0001-0500
あり	あり	ant<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 21</div>	<ruby>奴隷<rt>どれい</rt></ruby>たちは、まるで<b><ruby>蟻<rt>あり</rt></ruby></b>のように<ruby>働<rt>はたら</rt></ruby>いていた。	奴隷たちは、まるで蟻のように働いていた。	The slaves were working like so many ants.	pos::noun rank::0001-0500
もの	もの	thing; object; article<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 22</div>	<ruby>本当<rt>ほんとう</rt></ruby>によくなっている<ruby>感<rt>かん</rt></ruby>じがします<b>もの</b>。	本当によくなっている感じがしますもの。	I do feel on the mend.	pos::noun rank::0001-0500
あっ	あっ	ah; oh<div style="font-size:12px;color:#a7aebb;margin-top:4px">interjection &middot; frequency rank 23</div>	<b>あっ</b>！<ruby>教<rt>おし</rt></ruby>えてくれ。	あっ！教えてくれ。	Oh! Show me how.	pos::interjection rank::0001-0500
<ruby>今<rt>いま</rt></ruby>	今	now; the present time; just now<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 24</div>	<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>今<rt>こん</rt></ruby></b><ruby>学期<rt>がっき</rt></ruby>ほとんど<ruby>勉強<rt>べんきょう</rt></ruby>していない。	彼は今学期ほとんど勉強していない。	He has hardly studied this term.	pos::noun rank::0001-0500
<ruby>方<rt>ほう</rt></ruby>	方	direction; way; side<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 25</div>	<ruby>彼<rt>かれ</rt></ruby>はできるだけ<ruby>速<rt>はや</rt></ruby>く<ruby>私<rt>わたし</rt></ruby>の<b><ruby>方<rt>ほう</rt></ruby></b>へ<ruby>走<rt>はし</rt></ruby>ってきた。	彼はできるだけ速く私の方へ走ってきた。	He ran toward me as fast as he could.	pos::noun rank::0001-0500
として	として	as (i.e. in the role of); for (i.e. from the viewpoint of)<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 26</div>	<ruby>彼<rt>かれ</rt></ruby>はいつも<ruby>偉大<rt>いだい</rt></ruby>な<ruby>学者<rt>がくしゃ</rt></ruby><b>として</b><ruby>通<rt>かよ</rt></ruby>っている。	彼はいつも偉大な学者として通っている。	He always passes for a great scholar.	pos::expression rank::0001-0500
<ruby>日本<rt>にほん</rt></ruby>	日本	Japan<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 27</div>	<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>日本<rt>にっぽん</rt></ruby></b>について<ruby>良<rt>よ</rt></ruby>く<ruby>知<rt>し</rt></ruby>りません。	彼は日本について良く知りません。	He doesn't know much about Japan.	pos::noun rank::0001-0500
<ruby>自分<rt>じぶん</rt></ruby>	自分	myself; yourself; oneself<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 28</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<b><ruby>自分<rt>じぶん</rt></ruby></b>の<ruby>家族<rt>かぞく</rt></ruby><ruby>問題<rt>もんだい</rt></ruby>についてどんどん<ruby>話<rt>はな</rt></ruby>しつづけた。	彼女は自分の家族問題についてどんどん話しつづけた。	She talked on and on about her family problems.	pos::pronoun rank::0001-0500
<ruby>俺<rt>おれ</rt></ruby>	俺	I; me<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 29</div>	どうやら、<b><ruby>俺<rt>おれ</rt></ruby></b>は<ruby>微睡<rt>まどろ</rt></ruby>んでいたらしい・・・。	どうやら、俺は微睡んでいたらしい・・・。	It looks like I must have dozed off.	pos::pronoun rank::0001-0500
<ruby>前<rt>まえ</rt></ruby>	前	in front (of); before (e.g. a building)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 30</div>	<ruby>彼<rt>かれ</rt></ruby>ら２００メートル<b><ruby>前<rt>まえ</rt></ruby></b>を<ruby>歩<rt>ある</rt></ruby>いていた。	彼ら２００メートル前を歩いていた。	They were walking two hundred meters in advance.	pos::noun rank::0001-0500
<ruby>気<rt>き</rt></ruby>	気	spirit; mind; heart<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 31</div>	とてもそんな<ruby>男<rt>おとこ</rt></ruby>を<ruby>援助<rt>えんじょ</rt></ruby>する<b><ruby>気<rt>き</rt></ruby></b>にはなれない。	とてもそんな男を援助する気にはなれない。	I cannot bring myself to help such a man.	pos::noun rank::0001-0500
<ruby>時間<rt>じかん</rt></ruby>	時間	time<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 32</div>	<ruby>彼<rt>かれ</rt></ruby>はかなり<ruby>長<rt>なが</rt></ruby>い<b><ruby>時間<rt>じかん</rt></ruby></b><ruby>待<rt>ま</rt></ruby>っていた。	彼はかなり長い時間待っていた。	He did a good bit of waiting.	pos::noun rank::0001-0500
また	また	again; once more; once again<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 33</div>	<ruby>先週<rt>せんしゅう</rt></ruby><ruby>止<rt>と</rt></ruby>めたところから<b>また</b><ruby>読<rt>よ</rt></ruby>み<ruby>始<rt>はじ</rt></ruby>めましょう。	先週止めたところからまた読み始めましょう。	Let's resume reading where we left off last week.	pos::adverb rank::0001-0500
できる	できる	to be able to do; to be possible; to be permitted (to do)<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 34</div>	<ruby>病気<rt>びょうき</rt></ruby>のため<ruby>登校<rt>とうこう</rt></ruby><b>でき</b>なかった。	病気のため登校できなかった。	Illness prevented me from coming to school.	pos::verb rank::0001-0500
<ruby>話<rt>はなし</rt></ruby>	話	talk; speech; chat<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 35</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<b><ruby>話<rt>はなし</rt></ruby></b>を<ruby>聞<rt>き</rt></ruby>いて<ruby>感動<rt>かんどう</rt></ruby>して<ruby>泣<rt>な</rt></ruby>いた。	彼女の話を聞いて感動して泣いた。	I was moved to tears by her speech.	pos::noun rank::0001-0500
<ruby>思<rt>おも</rt></ruby>う	思う	to think; to consider; to believe<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 36</div>	<ruby>本当<rt>ほんとう</rt></ruby>に<ruby>心<rt>こころ</rt></ruby>からこんなことを<b><ruby>思<rt>おも</rt></ruby>っ</b>た。	本当に心からこんなことを思った。	This is really from my heart.	pos::verb rank::0001-0500
かも	かも	duck<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 37</div>	<ruby>肩<rt>かた</rt></ruby><ruby>慣<rt>な</rt></ruby>らしには<ruby>丁度<rt>ちょうど</rt></ruby>いい<b>かも</b>。	肩慣らしには丁度いいかも。	It could be just right for a warm up.	pos::noun rank::0001-0500
<ruby>分<rt>ぶん</rt></ruby>	分	part; portion; share<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 38</div>	<ruby>飛行機<rt>ひこうき</rt></ruby>は３０<b><ruby>分<rt>ふん</rt></ruby></b><ruby>遅<rt>おく</rt></ruby>れて<ruby>到着<rt>とうちゃく</rt></ruby>した。	飛行機は３０分遅れて到着した。	The plane came in 30 minutes late.	pos::noun rank::0001-0500
<ruby>家<rt>いえ</rt></ruby>	家	house; residence; dwelling<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 39</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<b><ruby>家<rt>いえ</rt></ruby></b>にはいろいろ<ruby>違<rt>ちが</rt></ruby>った<ruby>方法<rt>ほうほう</rt></ruby>で<ruby>行<rt>い</rt></ruby>ける。	彼女の家にはいろいろ違った方法で行ける。	You can get to her house in a variety of different ways.	pos::noun rank::0001-0500
<ruby>後<rt>あと</rt></ruby>	後	behind; rear<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 40</div>	<ruby>私<rt>わたし</rt></ruby>の<b><ruby>後<rt>のち</rt></ruby></b>について<ruby>繰<rt>く</rt></ruby>り<ruby>返<rt>かえ</rt></ruby>してください。	私の後について繰り返してください。	Please repeat after me.	pos::noun rank::0001-0500
みたい	みたい	-like; sort of; similar to<div style="font-size:12px;color:#a7aebb;margin-top:4px">suffix &middot; frequency rank 41</div>	<ruby>氷<rt>こおり</rt></ruby><b>みたい</b>に<ruby>冷<rt>つめ</rt></ruby>たい<ruby>顔<rt>かお</rt></ruby>しないでくれよ。	氷みたいに冷たい顔しないでくれよ。	Don't be cold as ice.	pos::suffix rank::0001-0500
ください	ください	please (give me)<div style="font-size:12px;color:#a7aebb;margin-top:4px">expression &middot; frequency rank 42</div>	<ruby>落<rt>お</rt></ruby>ち<ruby>着<rt>つ</rt></ruby>いたら<ruby>電話<rt>でんわ</rt></ruby>して<b>ください</b>。	落ち着いたら電話してください。	Call me when you get settled in.	pos::expression rank::0001-0500
たち	たち	pluralizing suffix (esp. for people and animals; formerly honorific)<div style="font-size:12px;color:#a7aebb;margin-top:4px">suffix &middot; frequency rank 43</div>	<ruby>兵士<rt>へいし</rt></ruby><b>たち</b>は<ruby>決<rt>けっ</rt></ruby>して<ruby>降伏<rt>ごうぶく</rt></ruby>しないように<ruby>言<rt>い</rt></ruby>われた。	兵士たちは決して降伏しないように言われた。	The soldiers were told never to surrender.	pos::suffix rank::0001-0500
<ruby>二<rt>に</rt></ruby>	二	two; 2<div style="font-size:12px;color:#a7aebb;margin-top:4px">number &middot; frequency rank 44</div>	あのレストランは<ruby>毎日<rt>まいにち</rt></ruby><b><ruby>二<rt>に</rt></ruby></b><ruby>千<rt>せん</rt></ruby><ruby>食<rt>しょく</rt></ruby><ruby>準備<rt>じゅんび</rt></ruby>している。	あのレストランは毎日二千食準備している。	That restaurant prepares two thousand meals every day.	pos::number rank::0001-0500
<ruby>好<rt>す</rt></ruby>き	好き	liking; being fond of; to one's liking<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 45</div>	<ruby>彼女<rt>かのじょ</rt></ruby>の<ruby>妹<rt>いもうと</rt></ruby>はとても<b><ruby>好<rt>す</rt></ruby>き</b>。	彼女の妹はとても好き。	I like her sister very much.	pos::na-adjective rank::0001-0500
<ruby>良<rt>よ</rt></ruby>い	良い	good; excellent; fine<div style="font-size:12px;color:#a7aebb;margin-top:4px">i-adjective &middot; frequency rank 46</div>	<ruby>本当<rt>ほんとう</rt></ruby>に<b>よく</b>なっている<ruby>感<rt>かん</rt></ruby>じがしますもの。	本当によくなっている感じがしますもの。	I do feel on the mend.	pos::i-adjective rank::0001-0500
ここ	ここ	here; this place<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 47</div>	<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けてくれ。<b>ここ</b>は<ruby>暑<rt>あつ</rt></ruby>くてたまらない。	窓を開けてくれ。ここは暑くてたまらない。	Open the window. It's baking hot in here.	pos::pronoun rank::0001-0500
<ruby>大<rt>だい</rt></ruby>	大	large; big; great<div style="font-size:12px;color:#a7aebb;margin-top:4px">prefix &middot; frequency rank 48</div>	<ruby>二<rt>に</rt></ruby><b><ruby>大<rt>だい</rt></ruby></b><ruby>文明<rt>ぶんめい</rt></ruby>はゆっくりと<ruby>衰退<rt>すいたい</rt></ruby>した。	二大文明はゆっくりと衰退した。	Two great civilizations slowly fell into decay.	pos::prefix rank::0001-0500
<ruby>性<rt>せい</rt></ruby>	性	nature (of a person)<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 49</div>	<ruby>彼<rt>かれ</rt></ruby>らの<ruby>思想<rt>しそう</rt></ruby>には<ruby>共通<rt>きょうつう</rt></ruby><b><ruby>性<rt>せい</rt></ruby></b>がある。	彼らの思想には共通性がある。	There is a community of thought between them.	pos::noun rank::0001-0500
<ruby>上<rt>うえ</rt></ruby>	上	above; over; up<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 50</div>	<ruby>彼<rt>かれ</rt></ruby>の<ruby>職業<rt>しょくぎょう</rt></ruby><b><ruby>上<rt>じょう</rt></ruby></b>のキャリアは<ruby>破綻<rt>はたん</rt></ruby>していた。	彼の職業上のキャリアは破綻していた。	His professional career was bankrupt.	pos::noun rank::0001-0500
<ruby>回<rt>かい</rt></ruby>	回	counter for occurrences<div style="font-size:12px;color:#a7aebb;margin-top:4px">counter &middot; frequency rank 51</div>	４<b><ruby>回<rt>かい</rt></ruby></b>、６<ruby>回<rt>かい</rt></ruby>、１２<ruby>回<rt>かい</rt></ruby>があります。	４回、６回、１２回があります。	You can make 4, 6 or 12 payments.	pos::counter rank::0001-0500
<ruby>考<rt>かんが</rt></ruby>え	考え	thinking; thought; view<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 52</div>	<ruby>彼<rt>かれ</rt></ruby>の<b><ruby>考<rt>かんが</rt></ruby>え</b>がさっぱり<ruby>分<rt>わ</rt></ruby>からない。	彼の考えがさっぱり分からない。	I can't understand his ideas at all.	pos::noun rank::0001-0500
<ruby>感<rt>かん</rt></ruby>じ	感じ	feeling; sense; impression<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 53</div>	どんな<b><ruby>感<rt>かん</rt></ruby>じ</b>ですか<ruby>先生<rt>せんせい</rt></ruby>？	どんな感じですか先生？	What's your impression, doctor?	pos::noun rank::0001-0500
<ruby>数<rt>かず</rt></ruby>	数	number; amount<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 54</div>	<ruby>新聞<rt>しんぶん</rt></ruby>はその<ruby>演説<rt>えんぜつ</rt></ruby>から<b><ruby>数<rt>すう</rt></ruby></b><ruby>箇所<rt>かしょ</rt></ruby><ruby>引用<rt>いんよう</rt></ruby>していた。	新聞はその演説から数箇所引用していた。	The newspaper extracted several passages from the speech.	pos::noun rank::0001-0500
<ruby>必要<rt>ひつよう</rt></ruby>	必要	necessary; needed; essential<div style="font-size:12px;color:#a7aebb;margin-top:4px">na-adjective &middot; frequency rank 55</div>	<b><ruby>必要<rt>ひつよう</rt></ruby></b>なだけお<ruby>持<rt>も</rt></ruby>ち<ruby>帰<rt>かえ</rt></ruby>りください。	必要なだけお持ち帰りください。	Keep as many as you need.	pos::na-adjective rank::0001-0500
そんな	そんな	such; that sort of; that kind of<div style="font-size:12px;color:#a7aebb;margin-top:4px">adjective &middot; frequency rank 56</div>	<b>そんな</b>ことリクエストしていません。	そんなことリクエストしていません。	I didn't request you to do that.	pos::adjective rank::0001-0500
なんて	なんて	how ...!; what ...!<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 57</div>	そんなに<ruby>速<rt>はや</rt></ruby>く<ruby>走<rt>はし</rt></ruby>る<b>なんて</b>できません。	そんなに速く走るなんてできません。	Running so fast is impossible for me.	pos::adverb rank::0001-0500
<ruby>来<rt>らい</rt></ruby>	来	next (year, spring, etc.); coming<div style="font-size:12px;color:#a7aebb;margin-top:4px">prefix &middot; frequency rank 58</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>数<rt>すう</rt></ruby><ruby>ヶ月<rt>かげつ</rt></ruby><ruby>来<rt>き</rt></ruby>はじめて<ruby>悲<rt>かな</rt></ruby>しく<ruby>思<rt>おも</rt></ruby>った。	彼女は数ヶ月来はじめて悲しく思った。	She was sad for the first time in months.	pos::prefix rank::0001-0500
<ruby>世界<rt>せかい</rt></ruby>	世界	the world; society; the universe<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 59</div>	<b><ruby>世界<rt>せかい</rt></ruby></b>は<ruby>毎年<rt>まいとし</rt></ruby>ますます<ruby>狭<rt>せま</rt></ruby>くなってきている。	世界は毎年ますます狭くなってきている。	Our world is getting smaller and smaller every year.	pos::noun rank::0001-0500
<ruby>誰<rt>だれ</rt></ruby>	誰	who<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 60</div>	<ruby>彼<rt>かれ</rt></ruby>は<b><ruby>誰<rt>だれ</rt></ruby></b>みたいな<ruby>感<rt>かん</rt></ruby>じ？	彼は誰みたいな感じ？	Who is he like?	pos::pronoun rank::0001-0500
ありがとう	ありがとう	thank you; thanks<div style="font-size:12px;color:#a7aebb;margin-top:4px">interjection &middot; frequency rank 61</div>	こんな<ruby>風<rt>かぜ</rt></ruby>に<ruby>覚<rt>おぼ</rt></ruby>えていて<ruby>下<rt>くだ</rt></ruby>さって<b>ありがとう</b>。	こんな風に覚えていて下さってありがとう。	You were thoughtful to remember me in this way.	pos::interjection rank::0001-0500
あれ	あれ	that; that thing<div style="font-size:12px;color:#a7aebb;margin-top:4px">pronoun &middot; frequency rank 62</div>	<b>あれ</b>、そんなに<ruby>近<rt>ちか</rt></ruby>いとは<ruby>知<rt>し</rt></ruby>りませんでした。	あれ、そんなに近いとは知りませんでした。	Oh, I didn't know it was that close.	pos::pronoun rank::0001-0500
よく	よく	nicely; properly; well<div style="font-size:12px;color:#a7aebb;margin-top:4px">adverb &middot; frequency rank 63</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>最近<rt>さいきん</rt></ruby>の<ruby>流行<rt>りゅうこう</rt></ruby>について<b>よく</b><ruby>知<rt>し</rt></ruby>っている。	彼女は最近の流行についてよく知っている。	She knows much about recent fashions.	pos::adverb rank::0001-0500
<ruby>第<rt>だい</rt></ruby>	第	prefix for forming ordinal numbers<div style="font-size:12px;color:#a7aebb;margin-top:4px">prefix &middot; frequency rank 64</div>	<b><ruby>第<rt>だい</rt></ruby></b>３<ruby>課<rt>か</rt></ruby>から<ruby>始<rt>はじ</rt></ruby>めましょう。	第３課から始めましょう。	Let's begin with Lesson 3.	pos::prefix rank::0001-0500
ああ	ああ	ah!; oh!; alas!<div style="font-size:12px;color:#a7aebb;margin-top:4px">interjection &middot; frequency rank 65</div>	こう<ruby>言<rt>い</rt></ruby>う<ruby>人<rt>ひと</rt></ruby>もいれば、<b>ああ</b><ruby>言<rt>い</rt></ruby>う<ruby>人<rt>ひと</rt></ruby>もいる。	こう言う人もいれば、ああ言う人もいる。	Some say this, and others say that.	pos::interjection rank::0001-0500
ところ	ところ	place; spot; scene<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 66</div>	<ruby>彼女<rt>かのじょ</rt></ruby>はまさに<ruby>出発<rt>しゅっぱつ</rt></ruby>する<b>ところ</b>である。	彼女はまさに出発するところである。	She was on the point of leaving.	pos::noun rank::0001-0500
<ruby>仕事<rt>しごと</rt></ruby>	仕事	work; job; labor<div style="font-size:12px;color:#a7aebb;margin-top:4px">noun &middot; frequency rank 67</div>	<ruby>彼女<rt>かのじょ</rt></ruby>は<ruby>新<rt>あたら</rt></ruby>しい<b><ruby>仕事<rt>しごと</rt></ruby></b>にすっかり<ruby>満足<rt>まんぞく</rt></ruby>している。	彼女は新しい仕事にすっかり満足している。	She is quite satisfied with her new job.	pos::noun rank::0001-0500
<ruby>言<rt>い</rt></ruby>う	言う	to say; to utter; to declare<div style="font-size:12px;color:#a7aebb;margin-top:4px">verb &middot; frequency rank 68</div>	<ruby>率直<rt>そっちょく</rt></ruby>に<b><ruby>言<rt>い</rt></ruby>え</b>ば、この<ruby>小説<rt>しょうせつ</rt></ruby>はあまり<ruby>面白<rt>おもしろ</rt></ruby>くない。	率直に言えば、この小説はあまり面白くない。	Frankly speaking, this novel isn't very interesting.	pos::verb rank::0001-0500
